Accession,Coreceptor
AY835435,CCR5
AY835436,CCR5
AY835437,CCR5
AY835438,CCR5
AY835439,CCR5
AY835440,CCR5
AY835441,CCR5
AY835442,CCR5
AY835443,CCR5
AY835444,CCR5
AY835445,CCR5
AY835446,CCR5
AY835447,CCR5
AY835448,CCR5
AY835449,CCR5
AY835450,CCR5
AY835451,CCR5
AY835452,CCR5
AY842786,CCR5
AY842788,CCR5
AY842789,CCR5
AY842792,CCR5
AY842793,CCR5
AY842796,CCR5
AY842797,CCR5
AY842799,CXCR4
AY842803,CCR5
AY842804,CCR5
AY842805,CCR5
AY842807,CCR5
AY842808,CCR5
AY842809,CCR5
AY842810,CCR5
AY842811,CCR5
AY842812,CCR5
AY842813,CCR5
AY842814,CCR5
AY842815,CCR5
AY842816,CCR5
AY842817,CCR5
AY842818,CCR5
AY842819,CXCR4
AY842820,CCR5
AY842822,CCR5
AY842824,CCR5
AY842825,CXCR4
AY842826,CXCR4
AY842827,CCR5
AY842828,CXCR4
AY842829,CCR5
AY842830,CCR5
AY842831,CXCR4
AY842832,CXCR4
AY842833,CXCR4
AY842834,CXCR4
AY842835,CCR5
AY842836,CCR5
AY842837,CCR5
AY842838,CCR5
AY842839,CCR5
AY842840,CCR5
AY842841,CCR5
AY842842,CCR5
AY887852,CCR5
AY887853,CCR5
AY887854,CCR5
AY887855,CCR5
AY887856,CCR5
AY887857,CCR5
AY887858,CCR5
AY887859,CCR5
AY887860,CCR5
AY887861,CCR5
AY887862,CCR5
AY887863,CCR5
AY887864,CCR5
AY887865,CCR5
AY887866,CCR5
AY887867,CCR5
AY887868,CCR5
AY887870,CCR5
AY887871,CCR5
AY887872,CCR5
AY887873,CCR5
AY887874,CCR5
AY887875,CCR5
AY887876,CCR5
AY887877,CCR5
AY887878,CCR5
AY887879,CCR5
AY887880,CCR5
AY887881,CCR5
AY887882,CCR5
AY887883,CCR5
AY887884,CCR5
AY887885,CCR5
AY887886,CCR5
AY887888,CCR5
AY887889,CCR5
AY887890,CCR5
AY887891,CCR5
AY887892,CCR5
AY994508,CCR5
AY994509,CCR5
AY994510,CCR5
DQ002026,CCR5
DQ002027,CCR5
DQ002028,CCR5
DQ002029,CCR5
DQ002030,CCR5
DQ002031,CCR5
DQ002032,CCR5
DQ002033,CCR5
DQ002034,CCR5
DQ002035,CCR5
DQ002036,CCR5
DQ002037,CCR5
DQ002038,CCR5
DQ002039,CCR5
DQ002040,CCR5
DQ002041,CCR5
DQ002042,CCR5
DQ002043,CCR5
DQ002044,CCR5
DQ002045,CCR5
DQ002046,CCR5
DQ002047,CCR5
DQ002048,CCR5
DQ002049,CCR5
DQ002050,CCR5
DQ002051,CCR5
DQ002052,CCR5
DQ002053,CCR5
DQ002054,CCR5
DQ002055,CCR5
DQ002056,CCR5
DQ002057,CCR5
DQ002058,CCR5
DQ002059,CCR5
DQ002060,CCR5
DQ002061,CCR5
DQ002062,CCR5
DQ002063,CCR5
DQ002064,CCR5
DQ002065,CCR5
DQ002066,CCR5
DQ002067,CCR5
DQ002068,CCR5
DQ002069,CCR5
DQ002070,CCR5
DQ002071,CCR5
DQ002072,CCR5
DQ002073,CCR5
DQ002074,CCR5
DQ002075,CCR5
DQ002076,CCR5
DQ002077,CCR5
DQ002078,CCR5
DQ002079,CCR5
DQ002080,CCR5
DQ002081,CCR5
DQ002082,CCR5
DQ002083,CCR5
DQ002084,CCR5
DQ002085,CCR5
DQ002086,CCR5
DQ002087,CCR5
DQ002088,CCR5
DQ002089,CCR5
DQ002090,CCR5
DQ002091,CCR5
DQ002092,CCR5
DQ002093,CCR5
DQ002094,CCR5
DQ002095,CCR5
DQ002096,CCR5
DQ002097,CCR5
DQ002098,CCR5
DQ002099,CCR5
DQ002100,CCR5
DQ002101,CCR5
DQ002102,CCR5
DQ002103,CCR5
DQ002104,CCR5
DQ002105,CCR5
DQ002106,CCR5
DQ002107,CCR5
DQ002108,CCR5
DQ002109,CCR5
DQ002110,CCR5
DQ002111,CCR5
DQ002112,CCR5
DQ002113,CCR5
DQ002114,CCR5
DQ002115,CCR5
DQ002116,CCR5
DQ002117,CCR5
DQ002118,CCR5
DQ002119,CCR5
DQ002120,CCR5
DQ002121,CCR5
DQ002122,CCR5
DQ002123,CCR5
DQ002124,CCR5
DQ002125,CCR5
DQ002126,CCR5
DQ002127,CCR5
DQ002128,CCR5
DQ002129,CCR5
DQ002130,CCR5
DQ002131,CCR5
DQ002132,CCR5
DQ002133,CCR5
DQ002134,CCR5
DQ002135,CCR5
DQ002136,CCR5
DQ002137,CCR5
DQ002138,CCR5
DQ002139,CCR5
DQ002140,CCR5
DQ002141,CCR5
DQ002142,CCR5
DQ002143,CCR5
DQ002144,CCR5
DQ002145,CCR5
DQ002146,CCR5
DQ002147,CCR5
DQ002148,CCR5
DQ002149,CCR5
DQ002150,CCR5
DQ002151,CCR5
DQ002152,CCR5
DQ002153,CCR5
DQ002154,CCR5
DQ002155,CCR5
DQ002156,CCR5
DQ002157,CCR5
DQ002158,CCR5
DQ002159,CCR5
DQ002160,CCR5
DQ002161,CCR5
DQ002162,CCR5
DQ002163,CCR5
DQ002164,CCR5
DQ002165,CCR5
DQ002166,CCR5
DQ002167,CCR5
DQ002168,CCR5
DQ002169,CCR5
DQ002170,CCR5
DQ002171,CCR5
DQ002172,CCR5
DQ002173,CCR5
DQ002174,CCR5
DQ002175,CCR5
DQ002176,CCR5
DQ002177,CCR5
DQ002178,CCR5
DQ002179,CCR5
DQ002180,CCR5
DQ002181,CCR5
DQ002182,CCR5
DQ002183,CCR5
DQ002184,CCR5
DQ002185,CCR5
DQ002186,CCR5
DQ002187,CCR5
DQ002188,CCR5
DQ002189,CCR5
DQ002190,CCR5
DQ002191,CCR5
DQ002192,CCR5
DQ002193,CCR5
DQ002194,CCR5
DQ002195,CCR5
DQ002196,CCR5
DQ002197,CCR5
DQ002198,CCR5
DQ002199,CCR5
DQ002200,CCR5
DQ002201,CCR5
DQ002202,CCR5
DQ002203,CCR5
DQ002204,CCR5
DQ002205,CCR5
DQ002206,CCR5
DQ002207,CCR5
DQ002208,CCR5
DQ002209,CCR5
DQ002210,CCR5
DQ002211,CCR5
DQ002212,CCR5
DQ002213,CCR5
DQ002214,CCR5
DQ002215,CCR5
DQ002216,CCR5
DQ002217,CCR5
DQ002218,CCR5
DQ002219,CCR5
DQ002220,CCR5
DQ002221,CCR5
DQ002222,CCR5
DQ002223,CCR5
DQ002224,CCR5
DQ002225,CCR5
DQ002226,CCR5
DQ002227,CCR5
DQ002228,CCR5
DQ002229,CCR5
DQ002230,CCR5
DQ002231,CCR5
DQ002232,CCR5
DQ002233,CCR5
DQ002234,CCR5
DQ002235,CCR5
DQ002236,CCR5
DQ002237,CCR5
DQ002238,CCR5
DQ002239,CCR5
DQ002240,CCR5
DQ002241,CCR5
DQ002242,CCR5
DQ002243,CCR5
DQ002244,CCR5
DQ002245,CCR5
DQ002246,CCR5
DQ002247,CCR5
DQ002248,CCR5
DQ002249,CCR5
DQ002250,CCR5
DQ002251,CCR5
DQ002252,CCR5
DQ002253,CCR5
DQ002254,CCR5
DQ002255,CCR5
DQ002256,CCR5
DQ002257,CCR5
DQ002258,CCR5
DQ002259,CCR5
DQ002260,CCR5
DQ002261,CCR5
DQ002262,CCR5
DQ002263,CCR5
DQ002264,CCR5
DQ002265,CCR5
DQ002266,CCR5
DQ002267,CCR5
DQ002268,CCR5
DQ002269,CCR5
DQ002270,CCR5
DQ002271,CCR5
DQ002272,CCR5
DQ002273,CCR5
DQ002274,CCR5
DQ002275,CCR5
DQ002276,CCR5
DQ002277,CCR5
DQ002278,CCR5
DQ002279,CCR5
DQ002280,CCR5
DQ002281,CCR5
DQ002282,CCR5
DQ002283,CCR5
DQ002284,CCR5
DQ002285,CCR5
DQ002286,CCR5
DQ002287,CCR5
DQ002288,CCR5
DQ002289,CCR5
DQ002290,CCR5
DQ002291,CCR5
DQ002292,CCR5
DQ002293,CCR5
DQ002294,CCR5
DQ002295,CCR5
DQ002296,CCR5
DQ002297,CCR5
DQ002298,CCR5
DQ002299,CCR5
DQ002300,CCR5
DQ002301,CCR5
DQ002302,CCR5
DQ002303,CCR5
DQ002304,CCR5
DQ002305,CCR5
DQ002306,CCR5
DQ002307,CCR5
DQ002308,CCR5
DQ002309,CCR5
DQ002310,CCR5
DQ002311,CCR5
DQ002312,CCR5
DQ002313,CCR5
DQ002314,CCR5
DQ002315,CCR5
DQ002316,CCR5
DQ002317,CCR5
DQ002318,CCR5
DQ002319,CCR5
DQ002320,CCR5
DQ002321,CCR5
DQ002322,CCR5
DQ002323,CCR5
DQ002324,CCR5
DQ002325,CCR5
DQ002326,CCR5
DQ002327,CCR5
DQ002328,CCR5
DQ002329,CCR5
DQ002330,CCR5
DQ002331,CCR5
DQ002332,CCR5
DQ002333,CCR5
DQ002334,CCR5
DQ002335,CCR5
DQ002336,CCR5
DQ002337,CCR5
DQ002338,CCR5
DQ002339,CCR5
DQ002340,CCR5
DQ002341,CCR5
DQ002342,CCR5
DQ002343,CCR5
DQ002344,CCR5
DQ002345,CCR5
DQ061397,CCR5
DQ061398,CCR5
DQ061399,CCR5
DQ061400,CCR5
DQ061401,CCR5
DQ061402,CCR5
DQ061403,CCR5
DQ061404,CCR5
DQ061405,CCR5
DQ061406,CCR5
DQ061407,CCR5
DQ061408,CCR5
DQ061409,CCR5
DQ061410,CCR5
DQ061411,CCR5
DQ061412,CCR5
DQ061413,CCR5
DQ061414,CCR5
DQ061415,CCR5
DQ061416,CCR5
DQ061417,CCR5
DQ061418,CCR5
DQ061419,CCR5
DQ061420,CCR5
DQ061421,CCR5
DQ061422,CCR5
DQ061423,CCR5
DQ061424,CCR5
DQ061425,CCR5
DQ061426,CCR5
DQ061427,CCR5
DQ061428,CCR5
DQ061429,CCR5
DQ061430,CCR5
DQ061431,CCR5
DQ061432,CCR5
DQ061433,CCR5
DQ061434,CCR5
DQ061435,CCR5
DQ061436,CCR5
DQ061437,CCR5
DQ061438,CCR5
DQ061439,CCR5
DQ061440,CCR5
DQ061441,CCR5
DQ061442,CCR5
DQ061443,CCR5
DQ061444,CCR5
DQ061445,CCR5
DQ061446,CCR5
DQ061447,CCR5
DQ061448,CCR5
DQ061449,CCR5
DQ061450,CCR5
DQ061451,CCR5
DQ061452,CCR5
DQ061453,CCR5
DQ061454,CCR5
DQ061455,CCR5
DQ061456,CCR5
DQ061457,CCR5
DQ061458,CCR5
DQ061459,CCR5
DQ061460,CCR5
DQ061461,CCR5
DQ061462,CCR5
DQ061463,CCR5
DQ061464,CCR5
DQ061478,CCR5
DQ061479,CCR5
DQ061480,CCR5
DQ061481,CCR5
DQ061482,CCR5
DQ061483,CCR5
DQ061484,CCR5
DQ061485,CCR5
DQ061486,CCR5
DQ061487,CCR5
DQ061488,CCR5
DQ061489,CCR5
DQ061490,CCR5
DQ061491,CCR5
DQ061492,CCR5
DQ061493,CCR5
DQ061494,CCR5
DQ061495,CCR5
DQ061496,CCR5
DQ061497,CCR5
DQ061498,CCR5
DQ061499,CCR5
DQ061500,CCR5
DQ061501,CCR5
DQ061502,CCR5
DQ061503,CCR5
DQ061504,CCR5
DQ061505,CCR5
DQ061506,CCR5
DQ061507,CCR5
DQ061508,CCR5
DQ061509,CCR5
DQ061510,CCR5
DQ061511,CCR5
DQ061512,CCR5
DQ061513,CCR5
DQ061514,CCR5
DQ061515,CCR5
DQ061516,CCR5
DQ061517,CCR5
DQ061518,CCR5
DQ061519,CCR5
DQ061520,CCR5
DQ061521,CCR5
DQ061522,CCR5
DQ061523,CCR5
DQ061524,CCR5
DQ061525,CCR5
DQ061526,CCR5
DQ061527,CCR5
DQ061528,CCR5
DQ061529,CCR5
DQ061530,CCR5
DQ061531,CCR5
DQ061532,CCR5
DQ061533,CCR5
DQ061534,CCR5
DQ061535,CCR5
DQ061536,CCR5
DQ061537,CCR5
DQ061538,CCR5
DQ061539,CCR5
DQ061540,CCR5
DQ061541,CCR5
DQ061542,CCR5
DQ061553,CCR5
DQ061554,CCR5
DQ061555,CCR5
DQ061556,CCR5
DQ061557,CCR5
DQ061558,CCR5
DQ061559,CCR5
DQ061560,CCR5
DQ061561,CCR5
DQ061562,CCR5
DQ061583,CCR5
DQ061584,CCR5
DQ061585,CCR5
DQ061586,CCR5
DQ061587,CCR5
DQ061588,CCR5
DQ061589,CCR5
DQ061590,CCR5
DQ061591,CCR5
DQ061592,CCR5
DQ061676,CCR5
DQ061677,CCR5
DQ061678,CCR5
DQ061679,CCR5
DQ061680,CCR5
DQ061681,CCR5
DQ061682,CCR5
DQ061683,CCR5
DQ061684,CCR5
DQ061685,CCR5
DQ061686,CCR5
DQ061687,CCR5
DQ061688,CCR5
DQ061689,CCR5
DQ061690,CCR5
DQ061691,CCR5
DQ061692,CCR5
DQ061693,CCR5
DQ061694,CCR5
DQ061695,CCR5
DQ061696,CCR5
DQ061697,CCR5
DQ061698,CCR5
DQ061699,CCR5
DQ061700,CCR5
DQ061701,CCR5
DQ061702,CCR5
DQ061703,CCR5
DQ061704,CCR5
DQ061705,CCR5
DQ061728,CCR5
DQ061729,CCR5
DQ061730,CCR5
DQ061731,CCR5
DQ061732,CCR5
DQ061733,CCR5
DQ061734,CCR5
DQ061735,CCR5
DQ061736,CCR5
DQ061737,CCR5
DQ061738,CCR5
DQ061739,CCR5
DQ061740,CCR5
DQ061741,CCR5
DQ061742,CCR5
DQ061743,CCR5
DQ061744,CCR5
DQ061745,CCR5
DQ061746,CCR5
DQ061747,CCR5
DQ061748,CCR5
DQ061749,CCR5
DQ061750,CCR5
DQ061751,CCR5
DQ061752,CCR5
DQ061753,CCR5
DQ061754,CCR5
DQ061755,CCR5
DQ061756,CCR5
DQ061757,CCR5
DQ061758,CCR5
DQ061759,CCR5
DQ061760,CCR5
DQ061761,CCR5
DQ061762,CCR5
DQ061763,CCR5
DQ061764,CCR5
DQ061765,CCR5
DQ061766,CCR5
DQ061767,CCR5
DQ061768,CCR5
DQ061769,CCR5
DQ061770,CCR5
DQ061771,CCR5
DQ061772,CCR5
DQ061773,CCR5
DQ061774,CCR5
DQ061775,CCR5
DQ061776,CCR5
DQ061777,CCR5
DQ061778,CCR5
DQ061779,CCR5
DQ061780,CCR5
DQ061791,CCR5
DQ061792,CCR5
DQ061793,CCR5
DQ061794,CCR5
DQ061795,CCR5
DQ061796,CCR5
DQ061797,CCR5
DQ061798,CCR5
DQ061799,CCR5
DQ061800,CCR5
DQ061801,CCR5
DQ061802,CCR5
DQ061803,CCR5
DQ061804,CCR5
DQ061805,CCR5
DQ061806,CCR5
DQ061807,CCR5
DQ061808,CCR5
DQ061809,CCR5
DQ061810,CCR5
DQ061811,CCR5
DQ061812,CCR5
DQ061813,CCR5
DQ061814,CCR5
DQ061815,CCR5
DQ061816,CCR5
DQ061817,CCR5
DQ061818,CCR5
DQ061819,CCR5
DQ061820,CCR5
DQ061821,CCR5
DQ061822,CCR5
DQ061823,CCR5
DQ061824,CCR5
DQ061825,CCR5
DQ061826,CCR5
DQ061827,CCR5
DQ061828,CCR5
DQ061829,CCR5
DQ061830,CCR5
DQ061831,CCR5
DQ061832,CCR5
DQ061833,CCR5
DQ061834,CCR5
DQ061835,CCR5
DQ061836,CCR5
DQ061837,CCR5
DQ061838,CCR5
DQ061839,CCR5
DQ061840,CCR5
DQ061841,CCR5
DQ061842,CCR5
DQ061843,CCR5
DQ061844,CCR5
DQ061845,CCR5
DQ061846,CCR5
DQ061847,CCR5
DQ061848,CCR5
DQ061849,CCR5
DQ061850,CCR5
DQ083238,CCR5
DQ109994,CCR5
DQ109995,CCR5
DQ109996,CCR5
DQ109997,CCR5
DQ109998,CCR5
DQ109999,CCR5
DQ110000,CCR5
DQ110001,CCR5
DQ110002,CCR5
DQ110003,CCR5
DQ110004,CCR5
DQ110005,CCR5
DQ177188,CCR5
DQ177189,CCR5
DQ177190,CCR5
DQ177191,CCR5
DQ177192,CCR5
DQ177193,CCR5
DQ177194,CCR5
DQ177195,CCR5
DQ177196,CXCR4
DQ177198,CCR5
DQ177199,CCR5
DQ177200,CCR5
DQ177201,CCR5
DQ177202,CXCR4
DQ177204,CXCR4
DQ177205,CCR5
DQ177206,CCR5
DQ177207,CCR5
DQ177208,CCR5
DQ177209,CCR5
DQ177210,CCR5
DQ178989,CCR5
DQ178990,CCR5
DQ178991,CCR5
DQ222211,CCR5
DQ222214,CCR5
DQ222216,CCR5
DQ222217,CCR5
DQ235615,CCR5
DQ235616,CCR5
DQ235617,CCR5
DQ235618,CCR5
DQ235619,CCR5
DQ235620,CCR5
DQ235621,CCR5
DQ235622,CCR5
DQ235623,CCR5
DQ235624,CCR5
DQ235625,CCR5
DQ235626,CCR5
DQ235628,CCR5
DQ235629,CCR5
DQ235630,CCR5
DQ235631,CCR5
DQ235632,CCR5
DQ235633,CCR5
DQ235634,CCR5
DQ235635,CCR5
DQ235636,CCR5
DQ235637,CCR5
DQ235638,CCR5
DQ235639,CCR5
DQ235640,CCR5
DQ235641,CCR5
DQ235642,CCR5
DQ235643,CCR5
DQ235644,CCR5
DQ235645,CCR5
DQ235646,CCR5
DQ235647,CCR5
DQ235648,CCR5
DQ286957,CXCR4
DQ286958,CXCR4
DQ358757,CCR5
DQ358761,CCR5
DQ358763,CCR5
DQ358770,CCR5
DQ382361,CCR5
DQ382362,CXCR4
DQ382363,CCR5
DQ382364,CCR5
DQ382365,CCR5
DQ382366,CCR5
DQ382367,CCR5
DQ382368,CXCR4
DQ382369,CCR5
DQ382370,CCR5
DQ382371,CCR5
DQ382372,CXCR4
DQ382374,CCR5
DQ382375,CCR5
DQ382376,CCR5
DQ382377,CCR5
DQ382378,CXCR4
DQ382380,CCR5
DQ388514,CCR5
DQ388515,CCR5
DQ388516,CCR5
DQ388517,CCR5
DQ411850,CCR5
DQ411851,CCR5
DQ411852,CCR5
DQ411853,CCR5
DQ411854,CCR5
DQ422948,CCR5
DQ435682,CCR5
DQ435683,CCR5
DQ435684,CCR5
DQ447266,CCR5
DQ447267,CCR5
DQ447268,CCR5
DQ447269,CCR5
DQ447270,CCR5
DQ447271,CXCR4
DQ447272,CCR5
DQ516106,CCR5
DQ516107,CCR5
DQ516108,CCR5
DQ516109,CCR5
DQ516110,CCR5
DQ516111,CCR5
DQ516112,CCR5
DQ516113,CCR5
DQ516114,CCR5
DQ516115,CCR5
DQ516116,CCR5
DQ516117,CCR5
DQ516118,CCR5
DQ516119,CCR5
DQ516120,CCR5
DQ516121,CCR5
DQ516122,CCR5
DQ516123,CCR5
DQ516124,CCR5
DQ516149,CCR5
DQ516150,CCR5
DQ516151,CCR5
DQ516152,CCR5
DQ516153,CCR5
DQ516154,CCR5
DQ516155,CCR5
DQ516156,CCR5
DQ516157,CCR5
DQ516158,CCR5
DQ516159,CCR5
DQ516160,CCR5
DQ516161,CCR5
DQ516162,CCR5
DQ516163,CCR5
DQ516164,CCR5
DQ516165,CCR5
DQ516166,CCR5
DQ516167,CCR5
DQ516173,CCR5
DQ516174,CCR5
DQ516175,CCR5
DQ516176,CCR5
DQ516177,CCR5
DQ516178,CCR5
DQ516179,CCR5
DQ516180,CCR5
DQ516181,CCR5
DQ516182,CCR5
DQ516183,CCR5
DQ516184,CCR5
DQ516185,CCR5
DQ516186,CCR5
DQ516215,CCR5
DQ516216,CCR5
DQ516217,CCR5
DQ516218,CCR5
DQ516219,CCR5
DQ516220,CCR5
DQ516221,CCR5
DQ516222,CCR5
DQ516223,CCR5
DQ516224,CCR5
DQ516225,CCR5
DQ516226,CCR5
DQ516227,CCR5
DQ516228,CCR5
DQ516229,CCR5
DQ516230,CCR5
DQ516231,CCR5
DQ516232,CCR5
DQ516233,CCR5
DQ516234,CCR5
DQ516235,CCR5
DQ516236,CCR5
DQ516237,CCR5
DQ516238,CCR5
DQ516239,CCR5
DQ516240,CCR5
DQ516241,CCR5
DQ516242,CCR5
DQ516243,CCR5
DQ516244,CCR5
DQ516245,CCR5
DQ516246,CCR5
DQ516247,CCR5
DQ516259,CCR5
DQ516260,CCR5
DQ516261,CCR5
DQ516262,CCR5
DQ516263,CCR5
DQ516264,CCR5
DQ516265,CCR5
DQ516266,CCR5
DQ516276,CCR5
DQ516277,CCR5
DQ516278,CCR5
DQ516279,CCR5
DQ516280,CCR5
DQ516281,CCR5
DQ516282,CCR5
DQ516283,CCR5
DQ516284,CCR5
DQ516285,CCR5
DQ516289,CCR5
DQ516290,CCR5
DQ516291,CCR5
DQ516292,CCR5
DQ516293,CCR5
DQ516294,CCR5
DQ516295,CCR5
DQ516296,CCR5
DQ516297,CCR5
DQ516298,CCR5
DQ516299,CCR5
DQ516300,CCR5
DQ516301,CCR5
DQ516302,CCR5
DQ516303,CCR5
DQ516304,CCR5
DQ516305,CCR5
DQ516306,CCR5
DQ516307,CCR5
DQ516308,CCR5
DQ516309,CCR5
DQ516310,CCR5
DQ516311,CCR5
DQ516312,CCR5
DQ516313,CCR5
DQ645382,CCR5
DQ645384,CCR5
DQ825460,CXCR4
DQ825461,CCR5
DQ825462,CXCR4
DQ825463,CCR5
DQ825464,CCR5
DQ825465,CCR5
DQ825466,CCR5
DQ825467,CCR5
DQ825468,CCR5
DQ825469,CCR5
DQ825470,CCR5
DQ825471,CCR5
DQ825472,CCR5
DQ825473,CCR5
DQ825474,CCR5
DQ825475,CCR5
DQ825476,CCR5
DQ869014,CCR5
DQ869015,CCR5
DQ869016,CCR5
DQ869017,CCR5
DQ869018,CCR5
DQ869019,CCR5
DQ869020,CCR5
DQ869021,CCR5
DQ869022,CCR5
DQ869023,CCR5
DQ869024,CCR5
DQ869025,CCR5
DQ869026,CCR5
DQ869028,CXCR4
DQ869029,CCR5
DQ869030,CCR5
DQ869031,CCR5
DQ869033,CCR5
DQ904333,CCR5
DQ904334,CCR5
DQ904335,CCR5
DQ904336,CCR5
DQ904337,CCR5
DQ904338,CCR5
DQ904342,CXCR4
DQ904343,CXCR4
DQ904344,CCR5
DQ904345,CCR5
DQ904346,CCR5
DQ904347,CCR5
DQ904348,CCR5
DQ904349,CCR5
DQ904350,CCR5
DQ990880,CXCR4
EF117257,CCR5
EF117260,CCR5
EF117261,CCR5
EF117262,CCR5
EF117264,CCR5
EF117265,CCR5
EF117266,CCR5
EF117267,CCR5
EF117268,CCR5
EF117269,CCR5
EF117270,CCR5
EF117271,CCR5
EF117272,CCR5
EF117273,CCR5
EF117274,CCR5
EF175209,CCR5
EF175210,CCR5
EF175211,CCR5
EF175212,CCR5
EF203968,CCR5
EF203969,CCR5
EF203982,CCR5
EF420986,CCR5
EF579969,CCR5
EF579970,CCR5
EF579971,CCR5
EF579972,CCR5
EF579973,CCR5
EF579974,CCR5
EF579975,CCR5
EF579976,CCR5
EF579977,CCR5
EF579978,CCR5
EF579979,CCR5
EF579980,CCR5
EF579981,CCR5
EF579982,CCR5
EF579983,CCR5
EF579984,CCR5
EF579985,CCR5
EF579986,CCR5
EF579987,CCR5
EF579988,CCR5
EF579989,CCR5
EF579990,CCR5
EF579991,CCR5
EF579992,CCR5
EF579993,CCR5
EF579994,CCR5
EF579995,CCR5
EF579996,CCR5
EF579997,CCR5
EF579998,CCR5
EF579999,CCR5
EF580000,CCR5
EF580001,CCR5
EF580002,CCR5
EF580003,CCR5
EF580004,CCR5
EF580005,CCR5
EF580006,CCR5
EF580007,CCR5
EF600067,CCR5
EF600068,CCR5
EF600069,CCR5
EF600070,CCR5
EF600071,CCR5
EF600072,CCR5
EF600073,CCR5
EF600074,CCR5
EF600075,CCR5
EF600076,CCR5
EF600077,CCR5
EF600078,CCR5
EF600079,CCR5
EF600080,CCR5
EF600081,CCR5
EF600082,CCR5
EF600083,CCR5
EF600084,CCR5
EF600085,CCR5
EF600086,CCR5
EF600087,CCR5
EF600088,CCR5
EF600089,CCR5
EF600090,CCR5
EF600091,CCR5
EF600092,CCR5
EF600093,CCR5
EF600094,CCR5
EF600095,CCR5
EF600096,CCR5
EF600097,CCR5
EF600098,CCR5
EF600099,CCR5
EF600100,CCR5
EF600101,CCR5
EF600102,CCR5
EF600103,CCR5
EF600104,CCR5
EF600105,CCR5
EF600106,CCR5
EF643652,CCR5
EF643653,CCR5
EF643654,CCR5
EF643655,CCR5
EF643656,CCR5
EF643657,CCR5
EF643658,CCR5
EF643659,CCR5
EF643660,CCR5
EF643661,CCR5
EF643662,CCR5
EF643663,CCR5
EF643664,CCR5
EF643665,CCR5
EF643666,CCR5
EF643667,CCR5
EF643668,CCR5
EF643669,CCR5
EF643670,CCR5
EF643671,CCR5
EF643672,CCR5
EF643673,CCR5
EF643674,CCR5
EF643675,CCR5
EF643676,CCR5
EF643677,CCR5
EF643678,CCR5
EF643679,CCR5
EF643680,CCR5
EF643681,CCR5
EF643682,CCR5
EF643683,CCR5
EF643684,CCR5
EF643685,CCR5
EF643686,CCR5
EF643687,CCR5
EF643688,CCR5
EF643689,CCR5
EF643690,CCR5
EF643691,CCR5
EF643692,CCR5
EF643693,CCR5
EF643694,CCR5
EF643695,CCR5
EF657890,CCR5
EF657891,CCR5
EF657892,CCR5
EF657893,CCR5
EF657894,CCR5
EF657895,CCR5
EF657896,CCR5
EF657897,CCR5
EF657898,CCR5
EF657899,CCR5
EF657900,CCR5
EF657901,CCR5
EF657902,CCR5
EF657903,CCR5
EF657904,CCR5
EF657905,CCR5
EF657906,CCR5
EF657907,CCR5
EF657908,CCR5
EF657909,CCR5
EF657910,CCR5
EF657911,CCR5
EF657912,CCR5
EF657913,CCR5
EF657914,CCR5
EF657915,CCR5
EF657916,CCR5
EF657917,CCR5
EF657918,CCR5
EF657919,CCR5
EF657920,CCR5
EF657921,CCR5
EF657922,CCR5
EF657923,CCR5
EF657924,CCR5
EF657925,CCR5
EF657926,CCR5
EF657927,CCR5
EF657928,CCR5
EF657929,CCR5
EF657930,CCR5
EF657931,CCR5
EF657932,CCR5
EF657933,CCR5
EF657934,CCR5
EF657935,CCR5
EF657936,CCR5
EF657937,CCR5
EF657938,CCR5
EF657939,CCR5
EF657940,CCR5
EF657941,CCR5
EF657942,CCR5
EF688428,CCR5
EF688429,CCR5
EF688430,CCR5
EF688431,CCR5
EF688433,CXCR4
EF688435,CCR5
EF688436,CXCR4
EF688437,CCR5
EF688438,CCR5
EF688439,CCR5
EF688440,CCR5
EF688443,CCR5
EF688444,CCR5
EF688445,CCR5
EF688446,CCR5
EF688447,CCR5
EF688448,CCR5
EF688449,CCR5
EF688450,CCR5
EF688451,CXCR4
EF688452,CCR5
EF688453,CCR5
EF688454,CCR5
EF688455,CCR5
EF688456,CCR5
EF688457,CCR5
EF688458,CCR5
EU023918,CCR5
EU031126,CCR5
EU031128,CCR5
EU031130,CCR5
EU031141,CCR5
EU031150,CCR5
EU031153,CCR5
EU031223,CCR5
EU031226,CCR5
EU031227,CCR5
EU031374,CCR5
EU074772,CXCR4
EU074775,CXCR4
EU074777,CXCR4
EU074778,CXCR4
EU074779,CXCR4
EU074780,CXCR4
EU074781,CXCR4
EU074782,CXCR4
EU123924,CCR5
EU161643,CCR5
EU161644,CCR5
EU161645,CCR5
EU272190,CCR5
EU272191,CCR5
EU272192,CCR5
EU272193,CCR5
EU272194,CCR5
EU272195,CCR5
EU272196,CCR5
EU272197,CCR5
EU272198,CCR5
EU272199,CCR5
EU272200,CCR5
EU272201,CCR5
EU272202,CCR5
EU272203,CCR5
EU272204,CCR5
EU272205,CCR5
EU272206,CCR5
EU272207,CCR5
EU272217,CCR5
EU272218,CCR5
EU272219,CCR5
EU272220,CCR5
EU272221,CCR5
EU272222,CCR5
EU272223,CCR5
EU272224,CCR5
EU272225,CCR5
EU272246,CCR5
EU272247,CCR5
EU272248,CCR5
EU272249,CCR5
EU272250,CCR5
EU272251,CCR5
EU272252,CCR5
